time_namelookup,time_connect,time_pretransfer,time_starttransfer,time_total
0.000976,0.001092,0.001149,0.031998,0.032057
0.000889,0.001005,0.001064,0.020559,0.020621
0.001009,0.001121,0.001179,0.024395,0.024453
0.000900,0.001014,0.001075,0.022262,0.022343
0.000786,0.000891,0.000953,0.023509,0.023569
0.000924,0.001041,0.001099,0.034011,0.034078
0.000840,0.000954,0.001009,0.029745,0.029807
0.000872,0.000979,0.001039,0.030197,0.030256
0.000769,0.000869,0.000926,0.029206,0.029261
0.001552,0.001659,0.001718,0.030026,0.030133
0.000755,0.000877,0.000940,0.028534,0.028590
0.000931,0.001041,0.001096,0.021808,0.021871
0.001595,0.001705,0.001762,0.028623,0.028680
0.000810,0.000925,0.000986,0.018850,0.018906
0.001000,0.001100,0.001157,0.019189,0.019257
0.000941,0.001072,0.001128,0.021915,0.022015
0.000995,0.001108,0.001166,0.028559,0.028623
0.000956,0.001079,0.001147,0.020120,0.020182
0.001254,0.001387,0.001447,0.031899,0.031964
0.002711,0.002821,0.002880,0.036311,0.036372
0.000844,0.000959,0.001023,0.033429,0.033493
0.001022,0.001138,0.001204,0.020360,0.020754
0.000817,0.000936,0.001002,0.026620,0.026680
0.000881,0.000987,0.001047,0.031785,0.031867
0.000969,0.001088,0.001151,0.022947,0.023012
0.000767,0.000867,0.000926,0.028630,0.028688
0.000800,0.000917,0.000992,0.029114,0.029172
0.001656,0.001764,0.001828,0.029510,0.029572
0.000935,0.001049,0.001112,0.034043,0.034110
0.000802,0.000905,0.000969,0.029247,0.029334
0.000980,0.001086,0.001147,0.029980,0.030048
0.000797,0.000907,0.000970,0.034321,0.034379
0.000828,0.000941,0.000999,0.018174,0.018254
0.000709,0.000813,0.000875,0.019068,0.019127
0.000899,0.001023,0.001079,0.020900,0.020957
0.000780,0.000887,0.000945,0.022425,0.022481
0.000839,0.000940,0.001001,0.035527,0.035583
0.000813,0.000916,0.000981,0.020812,0.020868
0.000858,0.000968,0.001022,0.023507,0.023574
0.000701,0.000807,0.000874,0.033625,0.033688
0.000855,0.000963,0.001030,0.024039,0.024094
0.000802,0.000901,0.000965,0.021261,0.021330
0.002068,0.002184,0.002243,0.049353,0.049417
0.000893,0.001008,0.001070,0.023596,0.023674
0.001073,0.001178,0.001238,0.028529,0.028593
0.001042,0.001154,0.001226,0.033675,0.033745
0.000843,0.000958,0.001016,0.030018,0.030079
0.001348,0.001464,0.001522,0.028541,0.028597
0.000743,0.000858,0.000917,0.027039,0.027096
0.000816,0.000928,0.000991,0.019762,0.020563
0.000936,0.001050,0.001105,0.019917,0.019974
0.000995,0.001098,0.001162,0.027475,0.027548
0.000791,0.000896,0.000954,0.018707,0.018761
0.000842,0.000942,0.000998,0.026554,0.026610
0.000799,0.000909,0.000969,0.025983,0.026039
0.001620,0.001713,0.001766,0.020398,0.020467
0.000737,0.000842,0.000901,0.017931,0.018599
0.000828,0.000930,0.000983,0.034588,0.034652
0.000746,0.000855,0.000910,0.020465,0.020530
0.000833,0.000931,0.000986,0.031356,0.031416
0.000817,0.000937,0.000994,0.021398,0.021459
0.000843,0.000952,0.001009,0.029216,0.029281
0.000917,0.001045,0.001117,0.033614,0.033675
0.000852,0.000964,0.001025,0.020363,0.020427
0.001143,0.001261,0.001319,0.033802,0.033870
0.000855,0.000957,0.001012,0.023387,0.023445
0.001032,0.001150,0.001211,0.030101,0.030165
0.000944,0.001057,0.001114,0.027549,0.027613
0.001138,0.001244,0.001301,0.031018,0.031073
0.000795,0.000900,0.000967,0.029499,0.029558
0.001645,0.001751,0.001823,0.030457,0.030522
0.001112,0.001219,0.001297,0.037740,0.037799
0.001307,0.001426,0.001489,0.031188,0.031245
0.000861,0.000987,0.001055,0.037595,0.037656
0.001352,0.001456,0.001514,0.064167,0.064238
