time_namelookup,time_connect,time_pretransfer,time_starttransfer,time_total
0.000785,0.000904,0.001001,0.033738,0.033795
0.000847,0.000950,0.001034,0.034323,0.034380
0.000927,0.001048,0.001138,0.039353,0.039420
0.001181,0.001298,0.001363,0.039415,0.039489
0.000866,0.000981,0.001047,0.033307,0.033372
0.000825,0.000974,0.001039,0.039312,0.039381
0.000977,0.001089,0.001155,0.019670,0.019737
0.000739,0.000839,0.000902,0.024551,0.024607
0.000807,0.000909,0.000967,0.036248,0.036307
0.000796,0.000902,0.000966,0.021588,0.021646
0.000905,0.001012,0.001069,0.029966,0.030021
0.000836,0.000965,0.001029,0.031077,0.031137
0.000806,0.000922,0.000991,0.053937,0.054007
0.000881,0.001003,0.001069,0.036590,0.036648
0.000852,0.000950,0.001012,0.018346,0.018407
0.000690,0.000793,0.000858,0.022061,0.022130
0.000751,0.000853,0.000916,0.035181,0.035239
0.000880,0.000997,0.001062,0.019884,0.019942
0.000814,0.000926,0.000992,0.018557,0.018614
0.000933,0.001029,0.001091,0.019133,0.019189
0.000904,0.001004,0.001062,0.035208,0.035272
0.001076,0.001197,0.001269,0.036927,0.036990
0.000768,0.000868,0.000919,0.019620,0.019680
0.000931,0.001032,0.001091,0.034386,0.034448
0.000826,0.000926,0.000988,0.035497,0.035558
0.000852,0.000946,0.001010,0.038278,0.038347
0.000827,0.000933,0.000991,0.022910,0.022968
0.000904,0.001027,0.001090,0.020817,0.020876
0.000820,0.000921,0.000980,0.035269,0.035319
0.000735,0.000833,0.000893,0.037489,0.037545
0.000987,0.001106,0.001171,0.034824,0.034889
0.000789,0.000891,0.000952,0.020511,0.020568
0.000785,0.000882,0.000941,0.029799,0.029854
0.000916,0.001039,0.001110,0.036586,0.036649
0.000809,0.000908,0.000969,0.034565,0.034634
0.000849,0.000977,0.001045,0.020830,0.020895
0.000960,0.001056,0.001123,0.018942,0.019010
0.000785,0.000918,0.000990,0.031681,0.031745
0.001001,0.001104,0.001165,0.023034,0.023095
0.000706,0.000828,0.000904,0.030826,0.030889
0.000799,0.000896,0.000957,0.032124,0.032192
0.000714,0.000829,0.000889,0.020574,0.020668
0.000838,0.000946,0.001003,0.027290,0.027348
0.000933,0.001035,0.001098,0.018780,0.018838
0.000761,0.000864,0.000928,0.025756,0.025813
0.000765,0.000872,0.000935,0.033449,0.033506
0.000826,0.000925,0.001002,0.026861,0.026922
0.001016,0.001118,0.001179,0.023781,0.023840
0.000881,0.001003,0.001057,0.033287,0.033344
0.000889,0.001014,0.001078,0.018549,0.018604
0.000730,0.000830,0.000888,0.017265,0.017333
0.000845,0.000942,0.001000,0.026986,0.027047
0.000714,0.000814,0.000875,0.033552,0.033614
0.001072,0.001200,0.001263,0.024300,0.024360
0.000769,0.000868,0.000926,0.024350,0.024418
0.000939,0.001036,0.001099,0.025321,0.025378
0.000743,0.000846,0.000894,0.018349,0.018406
0.000977,0.001081,0.001147,0.020316,0.020375
0.000867,0.000968,0.001049,0.029420,0.029484
0.000858,0.000961,0.001019,0.026349,0.026412
0.000768,0.000896,0.000960,0.032069,0.032126
0.000857,0.000951,0.001013,0.025288,0.025342
0.000698,0.000795,0.000858,0.018718,0.018774
0.000994,0.001099,0.001157,0.035307,0.035366
0.000774,0.000868,0.000927,0.031760,0.031821
0.000757,0.000879,0.000947,0.018000,0.018053
0.000865,0.000970,0.001030,0.033181,0.033249
0.000692,0.000788,0.000845,0.018400,0.018458
0.000788,0.000929,0.001001,0.018183,0.018251
0.000799,0.000927,0.000998,0.031593,0.031650
0.000919,0.001022,0.001081,0.031348,0.031413
