time_namelookup,time_connect,time_pretransfer,time_starttransfer,time_total
0.000816,0.000944,0.000995,0.039587,0.039645
0.000859,0.000976,0.001026,0.027812,0.027874
0.000876,0.000995,0.001044,0.031116,0.031184
0.000881,0.001023,0.001076,0.029850,0.029919
0.001198,0.001311,0.001364,0.027092,0.027156
0.000796,0.000901,0.000951,0.027037,0.027102
0.000759,0.000864,0.000915,0.036372,0.036428
0.000926,0.001053,0.001104,0.034055,0.034137
0.000789,0.000907,0.000945,0.020865,0.020937
0.000841,0.000946,0.000993,0.027907,0.027984
0.000838,0.000950,0.000997,0.027542,0.027624
0.000972,0.001085,0.001136,0.021621,0.021693
0.001032,0.001158,0.001212,0.021207,0.021273
0.000809,0.000911,0.000959,0.026535,0.026619
0.000903,0.001010,0.001057,0.035000,0.035067
0.000900,0.001016,0.001077,0.022045,0.022110
0.000865,0.000975,0.001024,0.019664,0.020988
0.000895,0.001002,0.001060,0.026807,0.026869
0.000802,0.000909,0.000954,0.025079,0.025147
0.000952,0.001060,0.001098,0.039471,0.039528
0.000853,0.000958,0.001002,0.021528,0.021592
0.000881,0.000989,0.001030,0.036549,0.036623
0.001029,0.001156,0.001220,0.029890,0.029946
0.001006,0.001121,0.001169,0.020795,0.020852
0.000772,0.000879,0.000935,0.030920,0.030982
0.000799,0.000900,0.000946,0.020955,0.021010
0.000778,0.000878,0.000930,0.026305,0.026363
0.000781,0.000884,0.000928,0.035105,0.035164
0.000844,0.000944,0.000989,0.025185,0.025255
0.000955,0.001054,0.001099,0.034253,0.034312
0.000854,0.000955,0.001002,0.035359,0.035417
0.001078,0.001191,0.001240,0.024014,0.024078
0.000844,0.000946,0.000989,0.019912,0.019969
0.001123,0.001276,0.001334,0.029332,0.029392
0.000933,0.001042,0.001089,0.025330,0.025389
0.000740,0.000833,0.000880,0.024180,0.024241
0.000799,0.000897,0.000943,0.034383,0.034454
0.001028,0.001147,0.001196,0.034929,0.034996
0.000752,0.000856,0.000902,0.032888,0.032948
0.000845,0.000942,0.000990,0.020786,0.020843
0.000927,0.001043,0.001092,0.034199,0.034265
0.000964,0.001073,0.001119,0.026561,0.026626
0.001078,0.001238,0.001298,0.041449,0.041508
0.001129,0.001235,0.001283,0.030135,0.030197
0.000891,0.000991,0.001036,0.020998,0.021058
0.000823,0.000928,0.000971,0.031685,0.031747
0.000873,0.000978,0.001024,0.021600,0.021656
0.000891,0.001031,0.001088,0.030330,0.030401
0.000903,0.001008,0.001060,0.030832,0.030904
0.000868,0.000976,0.001023,0.021484,0.021541
0.000767,0.000861,0.000909,0.030132,0.030191
0.000969,0.001082,0.001134,0.030740,0.030810
0.000947,0.001058,0.001109,0.035203,0.035267
0.000871,0.000978,0.001024,0.031363,0.031419
0.000909,0.001045,0.001102,0.020585,0.020641
0.000885,0.001057,0.001112,0.019584,0.019643
0.000840,0.000968,0.001022,0.019067,0.019123
0.000863,0.000969,0.001018,0.018540,0.018614
0.000890,0.001019,0.001072,0.025677,0.025771
0.000859,0.000963,0.001014,0.024633,0.024699
0.000989,0.001093,0.001143,0.032972,0.033043
0.001013,0.001133,0.001180,0.032610,0.032675
0.000851,0.000947,0.001000,0.021201,0.021263
0.001046,0.001150,0.001201,0.025409,0.025486
0.000827,0.000923,0.000967,0.032235,0.032298
0.001034,0.001147,0.001203,0.020994,0.021073
0.000840,0.000951,0.001005,0.023821,0.023885
0.001055,0.001168,0.001216,0.033135,0.033202
0.000827,0.000946,0.000993,0.020121,0.020174
0.000755,0.000847,0.000894,0.024566,0.024626
0.000862,0.000966,0.001012,0.029731,0.029793
0.000873,0.000988,0.001037,0.026222,0.026283
0.000983,0.001109,0.001190,0.033015,0.033084
0.000980,0.001078,0.001124,0.036689,0.036759
0.001128,0.001280,0.001340,0.021039,0.021104
0.000833,0.000943,0.000990,0.029111,0.029170
0.000911,0.001047,0.001098,0.029575,0.029636
0.000799,0.000913,0.000966,0.028429,0.028495
0.000846,0.000963,0.001015,0.031623,0.031698
0.000971,0.001078,0.001147,0.027791,0.027856
0.000983,0.001122,0.001177,0.021117,0.021177
0.000889,0.000984,0.001029,0.025746,0.025808
0.001075,0.001201,0.001247,0.020291,0.020351
0.000900,0.001008,0.001054,0.021279,0.021337
0.000753,0.000846,0.000889,0.019022,0.019078
0.000792,0.000880,0.000925,0.018714,0.018771
0.000882,0.001025,0.001098,0.025385,0.025440
0.000808,0.000912,0.000957,0.025518,0.025580
0.000916,0.001034,0.001086,0.032789,0.032848
0.001033,0.001134,0.001180,0.028853,0.028923
0.000970,0.001078,0.001123,0.029953,0.030024
0.000965,0.001093,0.001145,0.028537,0.028601
0.000839,0.000967,0.001018,0.020889,0.020950
0.001035,0.001150,0.001197,0.021345,0.021409
0.000683,0.000788,0.000833,0.029459,0.029523
0.000864,0.000969,0.001016,0.031930,0.031989
0.000952,0.001075,0.001126,0.031252,0.031310
0.000928,0.001038,0.001083,0.032313,0.032380
0.000940,0.001048,0.001092,0.021225,0.021283
0.002349,0.002449,0.002508,0.034374,0.034445
0.000915,0.001019,0.001064,0.026067,0.026128
0.000993,0.001104,0.001150,0.022005,0.022065
0.000884,0.000996,0.001043,0.031638,0.031719
0.001104,0.001218,0.001265,0.032398,0.032466
0.001160,0.001261,0.001309,0.021703,0.021766
0.000934,0.001032,0.001081,0.024968,0.025040
0.000738,0.000846,0.000892,0.019848,0.019899
0.000858,0.000962,0.001008,0.026638,0.026699
0.001047,0.001155,0.001200,0.032175,0.032238
0.001046,0.001170,0.001228,0.027216,0.027288
0.000967,0.001075,0.001125,0.020778,0.020837
0.000976,0.001083,0.001122,0.032793,0.032858
0.001125,0.001251,0.001309,0.028865,0.028927
0.001014,0.001128,0.001194,0.020442,0.020513
0.001167,0.001382,0.001437,0.032327,0.032407
0.000998,0.001176,0.001229,0.032217,0.032288
0.000992,0.001107,0.001154,0.031387,0.031453
0.001041,0.001174,0.001219,0.022571,0.022631
0.000943,0.001056,0.001104,0.019293,0.019358
0.000911,0.001021,0.001068,0.024799,0.024865
0.001133,0.001302,0.001365,0.025554,0.025616
0.000939,0.001047,0.001093,0.034563,0.034630
0.000932,0.001045,0.001090,0.021747,0.021804
0.001075,0.001254,0.001309,0.020558,0.020631
0.000956,0.001091,0.001146,0.020568,0.020632
0.000853,0.000971,0.001022,0.018390,0.018449
0.000854,0.000975,0.001028,0.029765,0.029839
0.001015,0.001145,0.001193,0.022543,0.022611
0.000825,0.000944,0.001007,0.020596,0.020653
0.000921,0.001026,0.001104,0.025928,0.025986
0.000842,0.000953,0.001026,0.030041,0.030101
0.001190,0.001362,0.001415,0.041270,0.041326
0.001019,0.001158,0.001214,0.024960,0.025027
0.001245,0.001385,0.001437,0.030726,0.030783
0.000924,0.001026,0.001074,0.020806,0.020869
0.000948,0.001064,0.001109,0.030399,0.030459
0.000980,0.001128,0.001180,0.028426,0.028479
0.000861,0.000979,0.001033,0.020175,0.020236
0.000911,0.001021,0.001072,0.024417,0.024482
0.000770,0.001037,0.001109,0.030045,0.030120
0.001227,0.001407,0.001462,0.031175,0.031235
0.000963,0.001070,0.001120,0.039048,0.039117
0.002004,0.002107,0.002156,0.032624,0.032691
0.000961,0.001066,0.001111,0.020581,0.020647
0.000884,0.001009,0.001058,0.019703,0.019759
0.000972,0.001100,0.001155,0.020305,0.020365
0.001947,0.002113,0.002167,0.031076,0.031136
0.000987,0.001102,0.001153,0.021525,0.021599
0.000869,0.000998,0.001054,0.018345,0.018405
0.001033,0.001151,0.001204,0.030174,0.030246
0.000717,0.000848,0.000923,0.020258,0.020316
0.001157,0.001283,0.001334,0.021312,0.021381
0.000909,0.001024,0.001072,0.029487,0.029559
0.000910,0.001059,0.001110,0.019821,0.019878
0.000897,0.001015,0.001060,0.026117,0.026179
0.001156,0.001297,0.001356,0.022395,0.022469
0.001089,0.001239,0.001290,0.025978,0.026055
0.001009,0.001126,0.001175,0.021198,0.021259
0.001114,0.001246,0.001301,0.027315,0.027385
0.000866,0.001008,0.001064,0.030400,0.030461
0.000927,0.001033,0.001079,0.029364,0.029426
0.000982,0.001099,0.001145,0.021471,0.021529
0.000768,0.000886,0.000928,0.024600,0.024663
0.000982,0.001093,0.001142,0.029934,0.030006
0.001204,0.001342,0.001386,0.034427,0.034489
0.000970,0.001087,0.001130,0.025539,0.025607
0.000988,0.001104,0.001149,0.021059,0.021123
0.000979,0.001101,0.001175,0.020765,0.020820
0.001000,0.001144,0.001200,0.030487,0.030545
0.001074,0.001225,0.001278,0.020911,0.020973
0.001042,0.001164,0.001221,0.030089,0.030153
0.000855,0.000979,0.001032,0.020645,0.020704
0.001137,0.001267,0.001351,0.021057,0.021122
0.001036,0.001155,0.001202,0.026795,0.026868
0.000961,0.001093,0.001147,0.031308,0.031383
0.000960,0.001093,0.001141,0.029389,0.029450
0.000949,0.001055,0.001103,0.024534,0.024621
0.001189,0.001347,0.001400,0.021669,0.021737
0.001119,0.001240,0.001301,0.029986,0.030050
0.001049,0.001154,0.001210,0.025919,0.025990
0.001045,0.001165,0.001215,0.020364,0.020423
0.000953,0.001058,0.001108,0.023391,0.023449
0.000968,0.001065,0.001120,0.019452,0.019517
0.001217,0.001329,0.001374,0.027417,0.027485
0.000794,0.000902,0.000953,0.030020,0.030085
0.000975,0.001086,0.001140,0.026579,0.026647
0.000946,0.001058,0.001106,0.030439,0.030500
0.001034,0.001183,0.001237,0.025574,0.025638
0.001146,0.001314,0.001370,0.026060,0.026124
0.000906,0.001020,0.001066,0.021155,0.021216
0.000903,0.001030,0.001073,0.025894,0.025960
0.001013,0.001145,0.001194,0.021542,0.021597
0.001128,0.001243,0.001294,0.021345,0.021408
0.001258,0.001369,0.001416,0.022911,0.023001
0.000920,0.001014,0.001060,0.027696,0.027756
0.000843,0.000953,0.000996,0.021508,0.021571
